# file...... substation_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+400-1.01754e-05d,+1.75284-0.384177j,+717.779+12.3623d,+400-120d,-1.21244-1.32363j,+717.997+12.4895d,+400+120d,-1.18925+1.33335j,+714.661-11.7305d
2009-01-01 00:19:00 PST,+1.1499e+90-0.0038184d,+1.12664e+89-8.19792e+89j,+inf+82.171d,+1.14874e+90-120.054d,-7.65136e+89+3.12455e+89j,+inf+82.1591d,+1.14914e+90+120.059d,+6.52496e+89+5.07635e+89j,+inf+82.1764d
2009-01-01 00:20:00 PST,+2.71391e+94-8.52657d,-2.36281e+92-1.95286e+94j,+inf+82.1666d,+2.71099e+94+111.525d,+1.70015e+94+9.55911e+93j,+inf+82.1786d,+2.71196e+94-128.592d,-1.67667e+94+9.97639e+93j,+inf+82.1613d
2009-01-01 00:21:00 PST,+6.40518e+98-0.0045381d,+6.27509e+97-4.56643e+98j,+inf+82.171d,+6.39786e+98-120.058d,-4.26128e+98+1.74049e+98j,+inf+82.1591d,+6.40021e+98+120.063d,+3.63391e+98+2.8276e+98j,+inf+82.1764d
2009-01-01 00:22:00 PST,+1.51171e+103-8.52585d,-1.31478e+101-1.08779e+103j,+inf+82.1666d,+1.50988e+103+111.529d,+9.46859e+102+5.32454e+102j,+inf+82.1786d,+1.51045e+103-128.596d,-9.3379e+102+5.55718e+102j,+inf+82.1613d
2009-01-01 00:23:00 PST,+3.56783e+107-0.00525768d,+3.49505e+106-2.54361e+107j,+inf+82.171d,+3.56327e+107-120.062d,-2.37324e+107+9.69517e+106j,+inf+82.1591d,+3.56465e+107+120.068d,+2.02381e+107+1.57502e+107j,+inf+82.1764d
2009-01-01 00:24:00 PST,+8.42055e+111-8.52513d,-7.31599e+109-6.05922e+111j,+inf+82.1666d,+8.40921e+111+111.533d,+5.2733e+111+2.96584e+111j,+inf+82.1786d,+8.41257e+111-128.601d,-5.20058e+111+3.09553e+111j,+inf+82.1613d
2009-01-01 00:25:00 PST,+1.98736e+116-0.00597714d,+1.94664e+115-1.41685e+116j,+inf+82.171d,+1.98455e+116-120.066d,-1.32173e+116+5.40057e+115j,+inf+82.1591d,+1.98537e+116+120.073d,+1.12711e+116+8.77308e+115j,+inf+82.1764d
2009-01-01 00:26:00 PST,+4.69044e+120-8.52441d,-4.07094e+118-3.37513e+120j,+inf+82.1666d,+4.68348e+120+111.537d,+2.93684e+120+1.65201e+120j,+inf+82.1786d,+4.68546e+120-128.606d,-2.89637e+120+1.72431e+120j,+inf+82.1613d
2009-01-01 00:27:00 PST,+1.10701e+125-0.00669648d,+1.08422e+124-7.8922e+124j,+inf+82.171d,+1.10529e+125-120.07d,-7.36115e+124+3.00832e+124j,+inf+82.1591d,+1.10577e+125+120.077d,+6.27716e+124+4.88674e+124j,+inf+82.1764d
2009-01-01 00:28:00 PST,+2.61268e+129-8.52369d,-2.26525e+127-1.88002e+129j,+inf+82.1666d,+2.60845e+129+111.541d,+1.6356e+129+9.20189e+128j,+inf+82.1786d,+2.60961e+129-128.61d,-1.61309e+129+9.60497e+128j,+inf+82.1613d
2009-01-01 00:29:00 PST,+6.16627e+133-0.00741569d,+6.03882e+132-4.39614e+133j,+inf+82.171d,+6.15586e+133-120.073d,-4.09966e+133+1.67574e+133j,+inf+82.1591d,+6.15866e+133+120.082d,+3.4959e+133+2.72199e+133j,+inf+82.1764d
2009-01-01 00:30:00 PST,+1.45532e+138-8.52297d,-1.26048e+136-1.04721e+138j,+inf+82.1666d,+1.45277e+138+111.545d,+9.10909e+137+5.12556e+137j,+inf+82.1786d,+1.45344e+138-128.615d,-8.9838e+137+5.35028e+137j,+inf+82.1613d
2009-01-01 00:31:00 PST,+3.43475e+142-0.00813479d,+3.36345e+141-2.44875e+142j,+inf+82.171d,+3.42849e+142-120.077d,-2.28323e+142+9.33452e+141j,+inf+82.1591d,+3.43012e+142+120.086d,+1.94695e+142+1.51619e+142j,+inf+82.1764d
2009-01-01 00:32:00 PST,+8.10647e+146-8.52225d,-7.01384e+144-5.83322e+146j,+inf+82.1666d,+8.09113e+146+111.548d,+5.07308e+146+2.855e+146j,+inf+82.1786d,+8.09508e+146-128.619d,-5.00337e+146+2.98028e+146j,+inf+82.1613d
2009-01-01 00:33:00 PST,+1.91323e+151-0.00885376d,+1.87335e+150-1.36401e+151j,+inf+82.171d,+1.90948e+151-120.081d,-1.2716e+151+5.19967e+150j,+inf+82.1591d,+1.91044e+151+120.091d,+1.08431e+151+8.44541e+150j,+inf+82.1764d
2009-01-01 00:34:00 PST,+inf-8.52153d,-nan+nanj,-nan-nand,+inf+111.552d,-nan+nanj,-nan-nand,+inf-128.624d,-nan+nanj,-nan-nand
2009-01-01 00:35:00 PST,+inf-0.00957262d,-nan+nanj,-nan-nand,+inf-120.085d,-nan+nanj,-nan-nand,+inf+120.095d,-nan+nanj,-nan-nand
2009-01-01 00:36:00 PST,+inf-8.52081d,-nan+nanj,-nan-nand,+inf+111.556d,-nan+nanj,-nan-nand,+inf-128.628d,-nan+nanj,-nan-nand
2009-01-01 00:37:00 PST,+inf-0.0102914d,-nan+nanj,-nan-nand,+inf-120.089d,-nan+nanj,-nan-nand,+inf+120.1d,-nan+nanj,-nan-nand
2009-01-01 00:38:00 PST,+inf-8.52009d,-nan+nanj,-nan-nand,+inf+111.56d,-nan+nanj,-nan-nand,+inf-128.633d,-nan+nanj,-nan-nand
2009-01-01 00:39:00 PST,+inf-0.01101d,-nan+nanj,-nan-nand,+inf-120.092d,-nan+nanj,-nan-nand,+inf+120.104d,-nan+nanj,-nan-nand
2009-01-01 00:40:00 PST,+inf-8.51938d,-nan+nanj,-nan-nand,+inf+111.564d,-nan+nanj,-nan-nand,+inf-128.637d,-nan+nanj,-nan-nand
2009-01-01 00:41:00 PST,+inf-0.0117285d,-nan+nanj,-nan-nand,+inf-120.096d,-nan+nanj,-nan-nand,+inf+120.109d,-nan+nanj,-nan-nand
2009-01-01 00:42:00 PST,+inf-8.51866d,-nan+nanj,-nan-nand,+inf+111.567d,-nan+nanj,-nan-nand,+inf-128.642d,-nan+nanj,-nan-nand
2009-01-01 00:43:00 PST,+inf-0.0124468d,-nan+nanj,-nan-nand,+inf-120.1d,-nan+nanj,-nan-nand,+inf+120.113d,-nan+nanj,-nan-nand
2009-01-01 00:44:00 PST,+inf-8.51794d,-nan+nanj,-nan-nand,+inf+111.571d,-nan+nanj,-nan-nand,+inf-128.646d,-nan+nanj,-nan-nand
2009-01-01 00:45:00 PST,+inf-0.0131651d,-nan+nanj,-nan-nand,+inf-120.104d,-nan+nanj,-nan-nand,+inf+120.118d,-nan+nanj,-nan-nand
