# file...... load_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+398.948-0.267537d,+1.75284-0.38418j,+715.893+12.0948d,+398.827-120.395d,-1.21244-1.32363j,+715.892+12.0947d,+400.689+119.636d,-1.18925+1.33335j,+715.895-12.0949d
2009-01-01 00:19:00 PST,+3.71493e+85+160.311d,-3.01754e+89-4.71918e+88j,+inf-28.5772d,+3.71034e+85+40.2729d,+1.10063e+89+2.84497e+89j,+inf-28.5772d,+3.71138e+85-79.6312d,+1.91801e+89-2.37311e+89j,+inf-28.5772d
2009-01-01 00:20:00 PST,+8.76766e+89+151.792d,-7.2082e+93-4.62292e+91j,+inf-28.5759d,+8.75623e+89-88.1684d,+3.64373e+93-6.20872e+93j,+inf-28.5759d,+8.75877e+89+31.7315d,+3.567e+93+6.25552e+93j,+inf-28.5759d
2009-01-01 00:21:00 PST,+2.06932e+94+160.309d,-1.68089e+98-2.62802e+97j,+inf-28.5766d,+2.06648e+94+40.2679d,+6.1316e+97+1.58447e+98j,+inf-28.5766d,+2.0671e+94-79.6279d,+1.06834e+98-1.3217e+98j,+inf-28.5766d
2009-01-01 00:22:00 PST,+4.88385e+98+151.792d,-4.01522e+102-2.58016e+100j,+inf-28.5762d,+4.87681e+98-88.1648d,+2.02964e+102-3.45787e+102j,+inf-28.5762d,+4.87834e+98+31.7268d,+1.98699e+102+3.48399e+102j,+inf-28.5762d
2009-01-01 00:23:00 PST,+1.15266e+103+160.308d,-9.36302e+106-1.46365e+106j,+inf-28.5764d,+1.15092e+103+40.2637d,+3.41569e+106+8.82445e+106j,+inf-28.5764d,+1.15129e+103-79.6238d,+5.95074e+106-7.361e+106j,+inf-28.5764d
2009-01-01 00:24:00 PST,+2.72042e+107+151.793d,-2.23659e+111-1.44002e+109j,+inf-28.5762d,+2.71614e+107-88.1611d,+1.13054e+111-1.92579e+111j,+inf-28.5762d,+2.71704e+107+31.7222d,+1.10684e+111+1.94037e+111j,+inf-28.5762d
2009-01-01 00:25:00 PST,+6.42058e+111+160.307d,-5.21544e+115-8.15205e+114j,+inf-28.5763d,+6.41002e+111+40.2597d,+1.90271e+115+4.91463e+115j,+inf-28.5763d,+6.41223e+111-79.6194d,+3.31464e+115-4.09954e+115j,+inf-28.5763d
2009-01-01 00:26:00 PST,+1.51534e+116+151.793d,-1.24583e+120-8.0369e+117j,+inf-28.5763d,+1.51275e+116-88.1573d,+6.29722e+119-1.07252e+120j,+inf-28.5763d,+1.51328e+116+31.7176d,+6.16549e+119+1.08066e+120j,+inf-28.5763d
2009-01-01 00:27:00 PST,+3.57641e+120+160.307d,-2.90513e+124-4.54047e+123j,+inf-28.5763d,+3.57004e+120+40.2558d,+1.05989e+124+2.73712e+124j,+inf-28.5763d,+3.57135e+120-79.615d,+1.84629e+124-2.28313e+124j,+inf-28.5763d
2009-01-01 00:28:00 PST,+8.44079e+124+151.794d,-6.93958e+128-4.48545e+126j,+inf-28.5763d,+8.42519e+124-88.1535d,+3.50762e+128-5.97315e+128j,+inf-28.5763d,+8.42837e+124+31.7131d,+3.4344e+128+6.01856e+128j,+inf-28.5763d
