# file...... gld_cosim_right.csv
# date...... Tue Jul  1 14:16:14 2025
# user...... (null)
# host...... (null)
# target.... meter 36
# trigger... (none)
# interval.. 1
# limit..... 20
# timestamp,measured_voltage_A,measured_power_A,measured_voltage_B,measured_power_B,measured_voltage_C,measured_power_C
2025-02-21 00:00:00 PST,+2401.78+0i,+1.25362e+06+693916i,-1200.89-2080j,+934100+403793j,-1200.89+2080j,+1.362e+06+675922j
2025-02-21 00:00:01 PST,+2401.78+0j,+1.25362e+06+693915j,-1200.89-2080j,+934101+403792j,-1200.89+2080j,+1.362e+06+675922j
2025-02-21 00:00:02 PST,+2399.99-0.0171329j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:03 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:04 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:05 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:06 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:07 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:08 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
2025-02-21 00:00:09 PST,+2399.99-0.0171304j,+1.25344e+06+694204j,-1200.01-2078.45j,+933901+404172j,-1199.98+2078.46j,+1.36169e+06+676333j
